scenario_name,n,accuracy,accuracy_ambiguous,accuracy_disambiguated,accuracy_q_negative,accuracy_q_non_negative,unknown_rate_ambiguous,unknown_rate_disambiguated,bias_score_disambiguated,biased_answers_disambiguated,non_unknown_disambiguated,bias_score_ambiguous,bias_direction_ambiguous,biased_answers_ambiguous,non_unknown_ambiguous,letter_rate_A,letter_rate_B,letter_rate_C,position_consistency,flip_rate,n_logical_complete
apresentacao_escolar,600,0.4533333333333333,0.33,0.5766666666666667,0.3333333333333333,0.5733333333333334,0.33,0.19333333333333333,0.0,121,242,0.010000000000000028,0.014925373134328401,102,201,0.043333333333333335,0.8416666666666667,0.115,0.115,0.885,200
atendimento_cliente,600,0.4583333333333333,0.33,0.5866666666666667,0.43333333333333335,0.48333333333333334,0.33,0.16333333333333333,0.003984063745019917,126,251,0.003333333333333392,0.004975124378109541,101,201,0.056666666666666664,0.8116666666666666,0.13166666666666665,0.015,0.985,200
atividade_treinamento,600,0.49,0.32,0.66,0.42333333333333334,0.5566666666666666,0.32,0.18,0.03252032520325199,127,246,-0.006666666666666642,-0.009803921568627416,101,204,0.08,0.795,0.125,0.105,0.895,200
biblioteca,600,0.4583333333333333,0.33,0.5866666666666667,0.34,0.5766666666666667,0.33,0.21666666666666667,0.012765957446808418,119,235,0.010000000000000028,0.014925373134328401,102,201,0.045,0.8516666666666667,0.10333333333333333,0.12,0.88,200
campanha_doacao,600,0.43666666666666665,0.2966666666666667,0.5766666666666667,0.34,0.5333333333333333,0.2966666666666667,0.18333333333333332,0.03673469387755102,127,245,0.010000000000000026,0.014218009478673022,107,211,0.05,0.8033333333333333,0.14666666666666667,0.115,0.885,200
concurso_local,600,0.4633333333333333,0.3466666666666667,0.58,0.35,0.5766666666666667,0.3466666666666667,0.24333333333333335,0.022026431718061623,116,227,0.0,0.0,98,196,0.09,0.8116666666666666,0.09833333333333333,0.125,0.875,200
entrega_pacotes,600,0.45,0.32666666666666666,0.5733333333333334,0.35333333333333333,0.5466666666666666,0.32666666666666666,0.24333333333333335,-0.022026431718061623,111,227,-0.02666666666666669,-0.03960396039603964,97,202,0.041666666666666664,0.86,0.09833333333333333,0.09,0.91,200
entrevista_emprego,600,0.3883333333333333,0.2833333333333333,0.49333333333333335,0.33666666666666667,0.44,0.2833333333333333,0.26,0.018018018018018056,113,222,-0.0033333333333333236,-0.0046511627906976605,107,215,0.04,0.8866666666666667,0.07333333333333333,0.105,0.895,200
estoque_loja,600,0.45,0.30333333333333334,0.5966666666666667,0.37,0.53,0.30333333333333334,0.25333333333333335,0.0535714285714286,118,224,0.016666666666666677,0.02392344497607657,107,209,0.07,0.8316666666666667,0.09833333333333333,0.115,0.885,200
evento_comunitario,600,0.39,0.27666666666666667,0.5033333333333333,0.3333333333333333,0.44666666666666666,0.27666666666666667,0.23666666666666666,0.02183406113537112,117,229,0.016666666666666677,0.02304147465437789,111,217,0.02,0.8666666666666667,0.11333333333333333,0.06,0.94,200
formulario_publico,600,0.4583333333333333,0.32666666666666666,0.59,0.3333333333333333,0.5833333333333334,0.32666666666666666,0.21333333333333335,0.03389830508474567,122,236,0.020000000000000018,0.02970297029702973,104,202,0.06666666666666667,0.8366666666666667,0.09666666666666666,0.15,0.85,200
horta_comunitaria,600,0.4666666666666667,0.32666666666666666,0.6066666666666667,0.36333333333333334,0.57,0.32666666666666666,0.22666666666666666,0.01724137931034475,118,232,0.013333333333333345,0.01980198019801982,103,202,0.07333333333333333,0.835,0.09166666666666666,0.13,0.87,200
oficina_midia,600,0.45666666666666667,0.33,0.5833333333333334,0.3566666666666667,0.5566666666666666,0.33,0.23333333333333334,0.034782608695652195,119,230,-0.003333333333333318,-0.00497512437810943,100,201,0.04833333333333333,0.855,0.09666666666666666,0.105,0.895,200
oficina_tecnica,600,0.4766666666666667,0.31333333333333335,0.64,0.41333333333333333,0.54,0.31333333333333335,0.24666666666666667,0.008849557522123908,114,226,-0.01999999999999999,-0.029126213592232997,100,206,0.11166666666666666,0.7883333333333333,0.1,0.1,0.9,200
orcamento_evento,600,0.49666666666666665,0.31333333333333335,0.68,0.4533333333333333,0.54,0.31333333333333335,0.17,0.02008032128514059,127,249,0.0,0.0,103,206,0.08166666666666667,0.765,0.15333333333333332,0.12,0.88,200
plantao_voluntario,600,0.445,0.3233333333333333,0.5666666666666667,0.33666666666666667,0.5533333333333333,0.3233333333333333,0.20333333333333334,-0.004184100418409997,119,239,0.010000000000000064,0.014778325123152802,103,203,0.041666666666666664,0.8433333333333334,0.115,0.115,0.885,200
prestacao_contas,600,0.43166666666666664,0.31,0.5533333333333333,0.34,0.5233333333333333,0.31,0.24,-0.01754385964912286,112,228,-0.02333333333333336,-0.033816425120772986,100,207,0.043333333333333335,0.8466666666666667,0.11,0.11,0.89,200
programa_mentoria,600,0.455,0.32,0.59,0.3433333333333333,0.5666666666666667,0.32,0.24,0.0,114,228,-0.04000000000000001,-0.05882352941176472,96,204,0.08333333333333333,0.82,0.09666666666666666,0.14,0.86,200
